assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,0,463748,None,,0,0,0,0,0.0,549,57,None,,0,1,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Karl,0.0,490,68,0,0,0,0.0,571,73,646,False,0.0,563,73,0,,None,40,688,54,0,0,None,0,,463748.jpg,0.0,577,73,0,0,0,Hein,0.1,509,70,False,None,0,0,a,1,3,0.0,521,47,0,4473,50,3719,67,0.0,0.0,Hein,0
0,0,0,None,None,0,0,516874,None,,0,0,0,0,0.0,696,289,None,,0,3,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Charles,0.0,653,259,0,0,0,0.0,705,291,735,False,0.0,699,288,0,,None,45,452,269,0,0,None,0,,516874.jpg,0.0,707,294,0,0,0,Sagoe,0.0,728,302,False,None,0,0,a,1,3,0.0,688,287,0,554,19,366,25,0.0,0.0,Sagoe,0
0,0,0,None,None,0,0,535262,None,,0,0,0,0,0.0,573,227,None,,0,2,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Reuell,0.0,514,202,0,0,0,0.0,594,228,736,False,0.0,587,228,0,,None,40,716,222,0,0,None,0,,535262.jpg,0.0,600,225,0,0,0,Walters,0.0,603,215,False,None,0,0,a,1,3,0.0,547,218,0,2247,110,1279,134,0.0,0.0,Walters,0
0,0,0,None,None,0,0,535264,None,,0,0,0,0,0.0,704,293,None,,0,3,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Bradley,0.0,662,263,0,0,0,0.0,713,295,737,False,0.0,707,292,0,,None,45,463,275,0,0,None,0,,535264.jpg,0.0,714,297,0,0,0,Ibrahim,0.0,725,299,False,None,0,0,a,1,3,0.0,697,292,0,478,17,329,21,0.0,0.0,Ibrahim,0
0,0,0,None,None,0,0,499169,None,,0,0,0,0,0.0,686,281,None,,0,3,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Myles,0.0,644,251,0,0,0,0.0,697,284,764,False,0.0,691,281,0,,None,45,440,259,0,0,None,0,,499169.jpg,0.0,699,287,0,0,0,Lewis-Skelly,0.0,770,335,False,None,0,0,a,1,3,0.0,678,279,0,22,4,16,8,0.0,0.0,Lewis-Skelly,0
0,0,0,None,None,0,0,499175,None,,0,0,0,0,0.0,687,282,None,,0,3,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Ethan,0.0,645,252,0,0,0,0.0,698,285,772,False,0.0,692,282,0,,None,45,441,260,0,0,None,0,,499175.jpg,0.0,700,288,0,0,0,Nwaneri,0.0,771,336,False,None,0,0,a,1,3,0.0,679,280,0,12,5,2,1,0.0,0.0,Nwaneri,0
0,2,47,100,100,0,0.0,106468,None,,0,0,0,0,57.9,285,95,None,,1,2,2.3,2.8,1,0.61,0.21,1.46,0.5,0.85,2.96,1.01,0.29,Alexandre,2.3,145,40,7,2.38,1,23.1,312,112,32,False,82.6,331,127,265,,2023-09-24T22:30:06.810510Z,50,172,20,0,0,None,0,,106468.jpg,2.1,274,96,0,0,0.0,Moreno Lopera,1.2,170,66,False,None,2,0.68,a,2,7,91.0,189,39,15,160202,10451,43645,6196,0.5,3.0,Alex Moreno,0
5,5,224,100,100,3,0.31,215711,4,,0,0,1,-1,265.9,66,51,None,,1,3,4.7,5.2,8,3.11,0.33,6.05,0.64,2.94,13.21,1.38,0.31,Leon,4.7,28,17,13,1.36,6,91.5,51,36,34,False,342.8,71,25,859,,2023-12-15T09:30:09.140206Z,56,93,57,0,0,None,0,,215711.jpg,4.1,46,28,0,0,0.0,Bailey,3.7,98,30,False,None,8,0.84,a,2,7,307.0,53,32,74,626784,38501,350106,12581,0.8,13.2,Bailey,3
0,0,0,0,0,0,0,195546,None,,0,0,-3,3,0.0,762,333,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Emiliano,0.0,749,325,0,0,0,0.0,762,333,35,False,0.0,762,333,0,Knee injury - Expected back 10 Feb,2023-08-10T11:00:05.686871Z,57,83,52,0,0,None,0,,195546.jpg,0.0,762,333,0,0,0,Buendía Stati,0.0,551,201,False,None,0,0,i,2,7,0.0,762,333,0,706,15,17028,21,0.0,0.0,Buendia,0
1,4,231,100,100,3,0.21,199796,None,,0,0,2,-2,135.4,157,34,None,,1,2,0.7,1.2,0,1.62,0.12,5.34,0.39,3.72,17.08,1.22,0.27,Matty,0.7,306,103,18,1.28,2,71.2,92,13,36,False,292.6,113,42,1262,,2023-12-22T23:30:09.762009Z,47,317,39,1,0,None,0,,199796.jpg,2.9,153,41,0,0,0.0,Cash,17.9,17,5,False,None,15,1.07,a,2,7,284.0,62,1,50,3680559,13496,2713622,57218,0.1,10.6,Cash,5
0,0,0,None,None,0,0,101184,None,,0,0,-1,1,0.0,475,173,None,,0,2,0.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Calum,0.0,414,143,0,0,0,0.0,500,174,37,False,0.0,494,175,0,,None,39,734,232,0,0,None,0,,101184.jpg,0.0,508,173,0,0,0,Chambers,0.9,191,73,False,None,0,0,a,2,7,0.0,445,160,0,49744,320,92222,1564,0.0,0.0,Chambers,0
