ID,Name,Full Name,Position,Team,Price,Selected %
619,L.Guilherme,Luis Guilherme Lira dos Santos,MID,19,4.9,0.0
620,Earthy,George Earthy,MID,19,4.5,0.0
621,Irving,Andy Irving,MID,19,4.3,0.2
622,Orford,Lewis Orford,MID,19,4.4,0.1
623,Potts,Freddie Potts,MID,19,4.3,0.5
624,Bowen,Jarrod Bowen,FWD,19,7.8,17.5
625,Füllkrug,Niclas Füllkrug,FWD,19,5.6,0.6
626,Marshall,Callum Marshall,FWD,19,4.3,0.5
627,Johnstone,Sam Johnstone,GK,20,4.4,0.1
628,José Sá,José Malheiro de Sá,GK,20,4.2,1.1
629,Bentley,Daniel Bentley,GK,20,3.9,0.5
630,King,Tom King,GK,9,3.9,1.2
631,Agbadou,Emmanuel Agbadou,DEF,20,4.2,0.1
632,Doherty,Matt Doherty,DEF,20,4.4,0.1
633,H.Bueno,Hugo Bueno López,DEF,20,4.3,0.2
634,Mosquera,Yerson Mosquera Valdelamar,DEF,20,4.3,0.1
635,R.Gomes,Rodrigo Martins Gomes,DEF,20,4.4,0.1
636,S.Bueno,Santiago Ignacio Bueno,DEF,20,4.4,0.2
637,Toti,Toti Gomes,DEF,20,4.2,0.1
638,Hoever,Ki-Jana Hoever,DEF,20,3.8,0.8
639,Meupiyou,Bastien Meupiyou Menadjou,DEF,20,4.0,0.0
640,Pedro Lima,Pedro Cardoso de Lima,DEF,20,4.0,0.4
641,Pond,Alfie Pond,DEF,20,3.9,0.9
642,Hee Chan,Hwang Hee-chan,MID,20,5.6,0.1
643,André,André Trindade da Costa Neto,MID,20,5.2,0.1
644,Bellegarde,Jean-Ricner Bellegarde,MID,20,5.1,0.0
645,Fer López,Fer López González,MID,20,5.1,0.0
646,J.Gomes,João Victor Gomes da Silva,MID,20,5.3,0.3
647,Guedes,Gonçalo Manuel Ganchinho Guedes,MID,20,5.5,0.0
648,Munetsi,Marshall Munetsi,MID,20,5.3,0.0
649,B.Traore,Boubacar Traoré,MID,20,5.0,0.0
650,Chirewa,Tawanda Chirewa,MID,20,4.3,0.2
651,Edozie,Tom Edozie,MID,20,4.3,0.4
652,Gonzalez,Enso González Medina,MID,20,4.3,1.2
653,Hodge,Joe Hodge,MID,20,4.5,0.0
654,Strand Larsen,Jørgen Strand Larsen,FWD,8,5.8,1.4
655,Fábio Silva,Fábio Soares Silva,FWD,20,4.9,0.2
656,Kalajdžić,Saša Kalajdžić,FWD,20,4.9,0.0
657,Chiwome,Leon Chiwome,FWD,20,4.4,0.0
658,Fraser,Nathan Fraser,FWD,20,4.2,1.7
659,Walker-Peters,Kyle Walker-Peters,DEF,19,4.2,0.3
660,Stach,Anton Stach,MID,11,4.8,1.7
661,Ekitiké,Hugo Ekitiké,FWD,12,9.0,15.7
662,Mosquera,Cristhian Mosquera,DEF,1,5.3,0.3
663,J.Arias,Jhon Arias,MID,20,4.9,0.1
664,Lecomte,Benjamin Lecomte,GK,10,3.9,0.7
665,Perri,Lucas Estella Perri,GK,11,4.4,0.3
666,Gyökeres,Viktor Gyökeres,FWD,1,9.1,16.4
667,Aznou,Adam Aznou,DEF,9,4.2,0.1
668,Xhaka,Granit Xhaka,MID,17,5.1,3.2
669,Ndoye,Dan Ndoye,MID,16,5.5,0.7
670,Roefs,Robin Roefs,GK,17,4.8,8.0
671,Wilson,Callum Wilson,FWD,19,5.8,0.6
672,Hato,Jorrel Hato,DEF,7,4.6,0.2
673,J.Palhinha,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,MID,18,5.5,0.9
674,Ramsdale,Aaron Ramsdale,GK,15,4.8,0.7
675,Gunn,Angus Gunn,GK,16,4.0,1.1
676,Ugochukwu,Lesley Ugochukwu,MID,3,5.0,0.1
677,Guessand,Evann Guessand,MID,8,6.2,0.0
678,Masuaku,Arthur Masuaku,DEF,17,3.9,0.5
679,Hermansen,Mads Hermansen,GK,19,4.2,1.0
680,Broja,Armando Broja,FWD,3,5.2,0.1
681,Šeško,Benjamin Sesko,FWD,14,7.2,4.6
682,Møller Wolfe,David Møller Wolfe,DEF,20,4.2,0.1
683,Alderete,Omar Alderete,DEF,17,4.1,4.9
684,Thiaw,Malick Thiaw,DEF,15,4.9,4.7
685,Diakité,Bafodé Diakité,DEF,4,4.1,0.3
686,Ngumoha,Rio Ngumoha,MID,12,4.3,1.4
687,Rees-Dottin,Remy Rees-Dottin,MID,4,4.3,0.2
688,Wright,James Wright,GK,2,3.9,0.6
689,Seung soo,Seung-Soo Park,MID,15,4.3,0.5
690,Cardines,Rio Cardines,MID,8,4.4,0.3
691,Calvert-Lewin,Dominic Calvert-Lewin,FWD,11,5.8,13.7
692,Leoni,Giovanni Leoni,DEF,12,4.9,0.0
693,Hutchinson,Omari Hutchinson,MID,16,5.4,0.1
694,Mukiele,Nordi Mukiele,DEF,17,4.6,8.7
695,Tchatchoua,Jackson Tchatchoua,DEF,20,4.4,0.0
696,Kalimuendo,Arnaud Kalimuendo,FWD,16,6.0,0.1
697,Adli,Amine Adli,MID,4,5.4,0.2
698,Okafor,Noah Okafor,MID,11,5.5,0.9
699,Douglas Luiz,Douglas Luiz Soares de Paulo,MID,2,4.9,0.1
700,Dowman,Max Dowman,MID,1,4.2,0.9
701,Rowe,Triston Rowe,DEF,2,4.0,0.1
702,Burrowes,Bradley Burrowes,MID,2,4.3,0.1
703,Proctor,Sam Proctor,GK,2,3.9,0.6
704,Onyango,Tyler Onyango,MID,9,4.5,0.0
705,Campbell,Elijah Campbell,DEF,9,3.9,0.1
706,Justin,James Justin,DEF,11,4.0,2.3
707,Dibling,Tyler Dibling,MID,9,5.3,0.0
708,M.Fernandes,Mateus Gonçalo Espanha Fernandes,MID,19,5.5,0.6
709,Krejčí,Ladislav Krejcí,DEF,20,4.5,0.1
710,Patterson,Travis Patterson,DEF,2,3.9,0.2
711,Harriman-Annous,Andre Harriman-Annous,MID,1,4.4,0.0
712,Yeremy,Yéremy Pino Santos,MID,8,5.8,0.2
713,A.Jimenez,Álex Jiménez Sánchez,DEF,4,4.5,0.1
714,Woltemade,Nick Woltemade,FWD,15,6.7,6.5
715,John,John Victor Maciel Furtado,GK,16,4.0,0.3
716,Savona,Nicolò Savona,DEF,16,4.5,0.0
717,Xavi,Xavi Simons,MID,18,6.3,1.1
718,S.Magassa,Soungoutou Magassa,MID,19,5.0,0.0
719,Lindelöf,Victor Lindelöf,DEF,2,4.5,0.1
720,Tolu,Tolu Arokodare,FWD,20,5.1,0.1
721,Milosavljević,Veljko Milosavljevic,DEF,4,4.4,0.0
722,Florentino,Florentino Ibrain Morris Luís,MID,3,5.0,0.0
723,Canvot,Jaydee Canvot,DEF,8,4.5,0.5
724,Geertruida,Lutsharel Geertruida,DEF,17,4.5,0.1
725,Hincapie,Piero Hincapié,DEF,1,5.1,0.9
726,Kolo Muani,Randal Kolo Muani,FWD,18,6.9,0.4
727,Chukwueze,Samuel Chukwueze,MID,10,5.3,0.1
728,Röhl,Merlin Röhl,MID,9,5.0,0.0
729,Cuiabano,Luis Eduardo Soares da Silva,DEF,16,4.5,0.0
730,Brobbey,Brian Brobbey,FWD,17,5.3,0.9
731,Kevin,Kevin Santos Lopes de Macedo,MID,10,5.7,0.1
732,Uche,Christantus Uche,FWD,8,5.5,0.1
733,Lammens,Senne Lammens,GK,14,5.1,3.6
734,Bakwa,Dilane Bakwa,MID,16,5.9,0.0
735,Traoré,Bertrand Traoré,MID,17,5.5,0.0
736,Donnarumma,Gianluigi Donnarumma,GK,13,5.6,9.3
737,Kusi-Asare,Jonah Kusi-Asare,FWD,10,4.5,0.1
738,Fabianski,Lukasz Fabianski,GK,19,4.5,0.0
739,Mukasa,Divine Mukasa,MID,13,4.4,0.0
740,Mfuni,Stephen Mfuni,DEF,13,3.9,0.0
741,Gray,Harry Gray,FWD,11,4.5,0.1
742,McAidoo,Ryan McAidoo,MID,13,4.5,0.0
743,Emenalo,Landon Emenalo,MID,7,4.5,0.0
744,Oriola,Nehemiah Oriola,MID,6,4.5,0.0
745,Byfield,Jun'ai Byfield,DEF,18,4.0,0.0
746,Morrison,Kieran Morrison,MID,12,4.5,0.0
747,Mayers,Ezra Mayers,DEF,19,4.0,0.0
748,Dasilva,Josh Dasilva,MID,5,4.9,0.0
749,Mané,Mateus Mané,FWD,20,4.2,1.4
750,Rowswell,James Rowswell,DEF,18,4.0,0.0
751,Akhamrich,Yusuf Akhamrich,MID,18,4.5,0.0
752,Golambeckis,Airidas Golambeckis,DEF,19,4.0,0.0
753,Ruddy,John Ruddy,GK,15,4.0,0.0
754,George Hemmings,George Hemmings,MID,2,4.5,0.0
755,Lacey,Shea Lacey,MID,14,4.5,0.0
756,DaCosta,Malcom DaCosta,MID,4,4.5,0.0
757,Hollingshead,Ronnie Hollingshead,GK,2,4.0,0.0
758,Mohamadou Kanté,Mohamadou Kanté,MID,19,4.5,0.0
759,Salmon,Marli Salmon,DEF,1,4.0,0.0
760,Lucky,Wellity Lucky,DEF,12,4.0,0.0
761,Simmonds,Freddie Simmonds,DEF,6,4.0,0.0
762,Drakes-Thomas,Joél Drakes-Thomas,MID,8,4.5,0.0
763,Gray,Charlie Gray,MID,13,4.5,0.0
764,Heskey,Reigan Heskey,MID,13,4.5,0.0
765,Shahar,Leo Shahar,DEF,15,4.0,0.0
766,Olagunju,Saheed Olagunju,DEF,20,4.0,0.0
767,Rawlings,Luke Rawlings,MID,20,4.5,0.0
768,Leon Routh,Leon Routh,DEF,2,4.0,0.0
769,Bendito Mantato,Bendito Mantato,MID,14,4.5,0.0
770,Ridgeon,Seth Ridgeon,MID,10,4.5,0.0
771,Fletcher,Tyler Fletcher,MID,14,4.4,0.0
772,Alabi,Sam Alabi,MID,15,4.5,0.0
773,Benamar,Dean Benamar,DEF,8,4.0,0.0
774,Jenson Jones,Jenson Jones,DEF,17,4.0,0.0
775,Tutierov,Tymur Tutierov,MID,17,4.5,0.0
776,Pimlott,Oliver Pimlott,MID,3,4.5,0.0
777,Ojinnaka,Temple Ojinnaka,MID,20,4.5,0.0
778,Sutherland,Ethan Sutherland,MID,20,4.5,0.0
779,Graham,Braiden Graham,FWD,9,4.5,0.0
780,Casey,Ben Casey,FWD,8,4.5,0.0
781,Carroll,TJ Carroll,DEF,2,4.0,0.0
782,Forster,Fraser Forster,GK,4,4.0,0.0
783,Groß,Pascal Groß,MID,6,5.6,3.0
784,Brierley,George Brierley,MID,3,4.5,0.0
785,Pablo,Pablo Felipe Pereira de Jesus,FWD,19,5.4,0.0
786,McNally,Alfie McNally,GK,10,4.0,0.0
787,Chambers,Sam Chambers,MID,11,4.4,0.0
788,Kukonki,Godwill Kukonki,DEF,14,4.0,0.0
789,Merrick,Max Merrick,GK,7,4.0,0.0
790,Williams-Barnett,Lucá Williams-Barnett,MID,18,4.5,0.0
791,Taty,Valentín Castellanos,FWD,19,5.5,0.3
792,Alysson,Alysson Edward Franco da Rocha dos Santos,MID,2,5.0,0.0
793,King,George King,DEF,8,4.0,0.0
794,Alleyne,Max Alleyne,DEF,13,3.9,0.0
795,Howell,Harry Howell,MID,6,4.5,0.0
796,Gallagher,Conor Gallagher,MID,18,5.0,0.2
797,Furo,Kaye Furo,FWD,5,4.5,0.0
798,Imray,Danny Imray,DEF,8,4.0,0.0
799,Stevens,Charlie Stevens,MID,4,4.5,0.0
800,Jocelin.T,Djiamgone Jocelin Ta Bi,MID,17,4.9,0.0
801,Tóth.A,Alex Tóth,MID,4,4.9,0.0
802,Lamadrid,Keiber Lamadrid,MID,19,5.0,0.0
803,Sharman-Lowe,Teddy Sharman-Lowe,GK,7,4.0,0.0
804,Souza,João Victor de Souza Menezes,DEF,18,4.0,0.0
805,Lucca,Lorenzo Lucca,FWD,16,5.3,0.0
806,Mandas,Christos Mandas,GK,4,4.0,0.0
807,Rayan,Rayan Vitor Simplício Rocha,MID,4,5.4,2.3
808,Abraham,Tammy Abraham,FWD,2,5.7,0.2
809,Abbey,Jerome Abbey,MID,20,4.5,0.0
810,Bentt,Luka Bentt,MID,5,4.5,0.0
811,Kyerematen,Rio Kyerematen,MID,18,4.5,0.0
812,Ellborg,Melker Ellborg,GK,17,4.0,0.1
