total_points,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,starts,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,transfers_in,transfers_out,name,element,team,position,value,selected,was_home,xP,round,GW
0.75,0.0,0.0,36.88,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,2.14,1.88,0.99,0.38,0.12,1.75,1.5,1.88,6668.88,175066.62,Trevoh Chalobah,0,Chelsea,DEF,54,8.8,0.5,0.0,37,37
3.25,0.12,0.12,72.0,0.12,1.5,0.0,0.0,0.0,0.0,0.25,0.0,0.12,0.0,19.32,11.56,12.75,4.38,0.88,2.88,3.88,1.88,6.75,64889.75,43861.12,Daniel Muñoz Mejía,0,Crystal Palace,DEF,59,9.2,0.5,0.0,37,37
17.0,0.88,1.0,283.88,0.75,4.38,0.0,0.0,0.0,0.0,0.62,0.0,2.0,0.0,63.72,52.85,87.75,20.35,3.12,3.0,9.5,10.62,23.12,132521.88,111093.38,Dango O.Dango,0,Brentford,MID,56,1.6,0.5,0.0,37,37
3.0,0.0,0.0,67.5,0.25,1.38,0.0,0.0,0.0,2.75,0.12,0.0,0.38,0.0,20.67,0.0,0.0,2.07,0.75,0.0,0.5,6.25,0.0,26375.0,77655.62,Robin Roefs,0,Sunderland,GK,48,8.0,0.5,0.0,37,37
4.38,0.12,0.0,90.0,0.38,0.88,0.0,0.0,0.0,0.0,0.25,0.0,0.38,0.0,21.98,20.52,6.88,4.95,1.0,2.25,3.75,7.38,13.38,46770.12,33469.75,Alex Scott,0,Bournemouth,MID,49,2.1,0.5,0.0,37,37
2.0,0.0,0.0,90.0,0.12,2.0,0.0,0.0,0.0,2.62,0.25,0.0,0.0,0.0,23.28,2.51,0.0,2.58,1.0,0.0,1.38,7.75,0.0,39262.88,42928.25,Jordan Pickford,0,Everton,GK,56,13.0,0.5,0.0,37,37
4.38,0.12,0.5,59.12,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,22.08,38.2,28.5,8.88,0.62,0.38,0.12,2.0,2.5,245234.38,49912.88,Rayan Cherki,0,Man City,MID,65,17.4,0.5,0.0,37,37
3.25,0.0,0.25,78.75,0.25,1.38,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,17.55,12.95,6.75,3.74,0.88,2.75,3.62,5.5,6.38,12048.5,8107.62,Tyrick Mitchell,0,Crystal Palace,DEF,50,2.3,0.5,0.0,37,37
2.75,0.0,0.0,89.25,0.25,1.38,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,13.03,15.62,8.88,3.74,1.0,2.88,1.75,4.75,9.38,4525.5,5149.62,Mateus Gonçalo Espanha Fernandes,0,West Ham,MID,55,0.6,0.5,0.0,37,37
4.12,0.0,0.0,90.0,0.5,0.75,0.0,0.0,0.0,1.75,0.25,0.0,0.25,0.0,15.75,1.29,0.25,1.72,1.0,0.0,0.88,7.5,0.0,28826.38,35418.0,Gianluigi Donnarumma,0,Man City,GK,56,9.3,0.5,0.0,37,37
4.88,0.0,0.25,90.0,0.5,0.62,0.0,0.0,0.0,0.0,0.25,0.0,0.62,0.0,15.1,8.3,9.25,3.29,1.0,2.0,4.5,4.75,11.25,13431.75,6766.62,Ethan Ampadu,0,Leeds,MID,49,0.6,0.5,0.0,37,37
2.12,0.0,0.0,47.12,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95,5.94,3.5,1.65,0.5,1.75,2.12,2.0,5.88,0.0,36497.75,Martín Zubimendi Ibáñez,0,Arsenal,MID,49,2.7,0.5,0.0,37,37
3.5,0.12,0.25,84.25,0.25,1.38,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,13.72,13.41,23.25,5.03,1.0,0.88,0.88,2.12,3.88,15211.75,22138.38,Cody Gakpo,0,Liverpool,MID,73,5.6,0.5,0.0,37,37
1.75,0.0,0.0,78.75,0.12,1.75,0.0,0.0,0.0,1.88,0.25,0.0,0.0,0.0,13.6,0.0,0.0,1.36,0.88,0.12,1.5,6.62,0.0,56441.75,30355.88,Dean Henderson,0,Crystal Palace,GK,51,9.0,0.5,0.0,37,37
2.25,0.0,0.25,24.5,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,9.05,14.33,9.12,3.24,0.12,0.88,0.12,2.12,3.12,3040.62,20970.12,Phil Foden,0,Man City,MID,80,7.8,0.5,0.0,37,37
2.5,0.0,0.12,67.88,0.12,1.62,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,20.95,1.85,6.25,2.91,0.75,1.0,6.62,1.75,7.62,20359.88,25796.75,Michael Keane,0,Everton,DEF,45,3.1,0.5,0.0,37,37
4.62,0.0,0.0,90.0,0.5,0.88,0.0,0.0,0.0,2.62,0.0,0.0,0.25,0.0,24.1,0.0,0.0,2.42,1.0,0.0,0.88,8.25,0.0,96837.5,29116.5,Bart Verbruggen,0,Brighton,GK,46,9.3,0.5,0.0,37,37
3.38,0.0,0.0,90.0,0.38,1.38,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,18.95,2.1,7.88,2.89,1.0,0.62,7.25,4.38,7.88,13468.88,14489.38,Nathan Collins,0,Brentford,DEF,49,2.4,0.5,0.0,37,37
2.12,0.0,0.0,74.75,0.12,1.5,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,15.95,1.14,0.25,1.74,0.88,0.88,5.0,2.25,5.88,15539.5,25160.62,Ibrahima Konaté,0,Liverpool,DEF,54,3.8,0.5,0.0,37,37
3.25,0.12,0.0,89.75,0.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,15.32,13.36,22.0,5.06,1.0,1.5,1.38,4.75,7.62,28798.62,21143.25,Iliman Ndiaye,0,Everton,MID,63,4.7,0.5,0.0,37,37
